acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,hidden_dims,num_attention_heads,attention_probs_dropout_prob,hidden_dropout_prob,intermediate_size,num_hidden_layers,max_position_embeddings,dropout,aligned_method,lr,patience,factor
59.52,50.45,51.93,50.17,0.4947,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,4.0,0.2,0.2,768.0,3.0,768.0,0.2,conv1d,5e-06,6.0,0.1
59.52,50.45,51.93,50.17,0.4947,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,4.0,0.2,0.2,768.0,3.0,768.0,0.2,conv1d,5e-06,7.0,0.1
58.74,48.55,52.17,47.55,0.4849,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,4.0,0.2,0.2,768.0,5.0,768.0,0.2,conv1d,6e-06,5.0,0.1
58.74,48.55,52.17,47.55,0.4849,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,4.0,0.2,0.2,768.0,5.0,768.0,0.2,conv1d,6e-06,6.0,0.1
58.74,48.55,52.17,47.55,0.4849,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,4.0,0.2,0.2,768.0,5.0,768.0,0.2,conv1d,6e-06,7.0,0.1
59.05,48.55,51.23,48.03,0.4935,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,4.0,0.2,0.2,768.0,5.0,768.0,0.2,conv1d,8e-06,5.0,0.1
59.05,48.55,51.23,48.03,0.4935,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,4.0,0.2,0.2,768.0,5.0,768.0,0.2,conv1d,8e-06,6.0,0.1
59.05,48.55,51.23,48.03,0.4935,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,4.0,0.2,0.2,768.0,5.0,768.0,0.2,conv1d,8e-06,7.0,0.1
59.0,50.17,52.76,49.03,0.4832,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,4.0,0.2,0.2,768.0,5.0,768.0,0.2,conv1d,5e-06,5.0,0.1
59.0,50.17,52.76,49.03,0.4832,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,4.0,0.2,0.2,768.0,5.0,768.0,0.2,conv1d,5e-06,6.0,0.1
